iter	Passed	Remaining
0	2	198
1	3	170
2	5	169
3	6	167
4	8	163
5	10	160
6	11	159
7	13	157
8	15	155
9	16	152
10	18	152
11	20	151
12	22	149
13	23	146
14	25	146
15	27	143
16	29	142
17	31	141
18	32	139
19	34	138
20	36	137
21	38	136
22	40	135
23	42	134
24	44	133
25	46	131
26	47	128
27	49	126
28	51	124
29	52	121
30	53	118
31	54	115
32	55	112
33	56	109
34	58	107
35	59	105
36	60	103
37	62	101
38	63	99
39	65	98
40	66	95
41	67	92
42	68	90
43	70	89
44	71	86
45	72	84
46	73	82
47	75	81
48	76	79
49	77	77
50	79	76
51	81	75
52	83	74
53	85	72
54	85	70
55	86	68
56	88	66
57	89	65
58	91	63
59	93	62
60	95	61
61	97	59
62	99	58
63	101	56
64	102	55
65	104	53
66	105	51
67	106	50
68	108	48
69	109	46
70	110	45
71	112	43
72	113	42
73	115	40
74	116	38
75	117	37
76	118	35
77	119	33
78	121	32
79	122	30
80	123	29
81	124	27
82	126	25
83	127	24
84	128	22
85	129	21
86	130	19
87	131	17
88	132	16
89	133	14
90	134	13
91	135	11
92	135	10
93	136	8
94	137	7
95	138	5
96	139	4
97	140	2
98	140	1
99	141	0
