iter	Passed	Remaining
0	160	159925
1	161	80676
2	162	54138
3	163	40803
4	167	33263
5	168	27927
6	172	24495
7	173	21539
8	176	19386
9	177	17548
10	178	16047
11	179	14777
12	182	13854
13	185	13048
14	186	12245
15	187	11538
16	188	10904
17	189	10339
18	190	9827
19	191	9366
20	192	8954
21	193	8591
22	194	8256
23	195	7947
24	196	7665
25	197	7396
26	198	7148
27	199	6915
28	200	6702
29	203	6567
30	204	6383
31	205	6227
32	207	6067
33	207	5904
34	208	5758
35	210	5626
36	211	5506
37	212	5380
38	213	5259
39	214	5141
40	215	5034
41	216	4928
42	216	4825
43	217	4729
44	218	4635
45	219	4545
46	220	4462
47	220	4380
48	221	4300
49	222	4227
50	223	4157
51	224	4091
52	225	4029
53	226	3964
54	227	3902
55	228	3846
56	228	3788
57	229	3730
58	230	3675
59	231	3620
60	231	3568
61	232	3518
62	233	3471
63	234	3423
64	234	3377
65	235	3332
66	236	3287
67	236	3246
68	238	3212
69	239	3177
70	240	3144
71	241	3110
72	242	3076
73	243	3041
74	243	3007
75	244	2973
76	245	2938
77	245	2905
78	246	2872
79	247	2841
80	247	2810
81	248	2781
82	248	2748
83	249	2719
84	250	2692
85	250	2664
86	251	2637
87	252	2615
88	253	2591
89	254	2570
90	255	2549
91	256	2528
92	256	2506
93	257	2483
94	258	2461
95	259	2441
96	259	2419
97	260	2398
98	261	2378
99	262	2359
100	262	2340
101	263	2320
102	264	2300
103	264	2281
104	265	2262
105	266	2243
106	266	2227
107	267	2212
108	268	2196
109	269	2182
110	270	2166
111	271	2151
112	272	2136
113	272	2121
114	273	2106
115	274	2090
116	274	2073
117	275	2059
118	276	2045
119	277	2032
120	277	2019
121	278	2005
122	279	1993
123	280	1982
124	281	1969
125	282	1957
126	282	1944
127	283	1932
128	284	1923
129	286	1914
130	286	1902
131	287	1890
132	288	1878
133	289	1867
134	289	1856
135	290	1845
136	291	1833
137	291	1822
138	292	1811
139	293	1800
140	293	1789
141	294	1777
142	294	1766
143	295	1755
144	295	1745
145	296	1734
146	297	1726
147	298	1718
148	299	1711
149	300	1702
150	301	1694
151	302	1685
152	302	1677
153	303	1668
154	304	1658
155	304	1649
156	305	1640
157	306	1631
158	306	1622
159	307	1613
160	307	1603
161	308	1595
162	309	1586
163	309	1578
164	310	1569
165	310	1561
166	311	1553
167	312	1546
168	313	1540
169	314	1534
170	315	1528
171	316	1521
172	316	1515
173	317	1508
174	318	1501
175	319	1495
176	320	1489
177	320	1481
178	321	1474
179	322	1467
180	322	1460
181	323	1453
182	324	1446
183	324	1439
184	325	1432
185	325	1426
186	326	1419
187	327	1414
188	328	1409
189	329	1404
190	330	1399
191	331	1394
192	332	1388
193	333	1383
194	333	1378
195	334	1372
196	335	1367
197	336	1361
198	336	1355
199	337	1349
200	338	1343
201	338	1337
202	339	1332
203	339	1326
204	340	1320
205	341	1314
206	341	1309
207	342	1304
208	343	1300
209	344	1296
210	345	1291
211	346	1287
212	347	1283
213	347	1278
214	348	1273
215	349	1268
216	350	1263
217	350	1258
218	351	1253
219	352	1248
220	352	1243
221	353	1238
222	354	1233
223	354	1228
224	355	1223
225	355	1218
226	356	1213
227	357	1208
228	358	1205
229	359	1201
230	360	1198
231	360	1194
232	361	1190
233	362	1186
234	363	1182
235	364	1178
236	364	1174
237	365	1169
238	366	1165
239	366	1161
240	367	1156
241	367	1152
242	368	1148
243	369	1143
244	369	1139
245	370	1135
246	371	1131
247	371	1127
248	372	1123
249	373	1120
250	374	1118
251	375	1114
252	376	1111
253	377	1108
254	378	1104
255	378	1100
256	379	1097
257	380	1093
258	380	1089
259	381	1085
260	382	1081
261	382	1077
262	383	1074
263	383	1070
264	384	1066
265	385	1062
266	385	1059
267	386	1055
268	386	1051
269	387	1048
270	388	1046
271	389	1043
272	390	1040
